Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
BX,Common Stock,Blackstone Group Inc,"Blackstone Group Inc. (BX) is a leading global alternative asset management firm, renowned for its comprehensive expertise in private equity, real estate, credit, and hedge fund strategies. Headquartered in New York City, with a strategic presence across Asia, Europe, and North America, Blackstone manages a diversified portfolio that encompasses various sectors and regions. With a disciplined investment approach and a proven track record of delivering strong returns, the firm has earned the trust of a diverse client base, including sovereign wealth funds, pension plans, and high-net-worth individuals, reinforcing its status as a dominant player in the alternative investment landscape.",1393818,NYSE,USD,USA,FINANCIAL SERVICES,ASSET MANAGEMENT,"345 PARK AVENUE, NEW YORK, NY, UNITED STATES, 10154",https://www.blackstone.com,December,2025-09-30,170201793000,None,40.64,1.301,10.72,4.69,0.0336,3.48,16.48,0.212,0.446,0.121,0.265,12791218000,12791218000,3.48,-0.214,-0.196,179.56,2,8,12,0,0,40.64,21.55,13.31,12.86,10.62,-,1.762,194.94,113.15,163.09,154.72,738451000,743443000,0.941,70.899,2025-11-10,2025-11-03
XYZ,Common Stock,"Block, Inc","Block, Inc. is a premier financial technology firm headquartered in Oakland, California, renowned for its comprehensive suite of integrated commerce and payment solutions. The company excels in innovative payment technologies, cryptocurrency services, and data analytics, aimed at optimizing transaction processes for a diverse clientele. With a strong commitment to financial inclusion, Block empowers businesses and enhances consumer experiences within the fast-evolving digital economy. Its forward-thinking approach and continuous platform enhancements position Block as a key player in promoting global financial accessibility and meeting the dynamic needs of its customers.",1512673,NYSE,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"1955 BROADWAY, OAKLAND, CA, UNITED STATES, 94612",https://www.block.xyz,December,2025-09-30,37857530000,1669601000,12.17,1.205,36.94,None,None,4.97,38.98,0.131,0.0687,0.0226,0.147,23973765000,9857598000,4.97,0.644,0.023,84.11,6,25,11,3,1,12.17,18.08,1.579,1.633,1.304,11.71,2.651,99.26,44.27,74.87,68.49,547667000,541667000,1.243,84.046,None,None
BK,Common Stock,The Bank of New York Mellon Corporation,"The Bank of New York Mellon Corporation (BK) is a premier global investments firm, delivering a wide range of investment management, investment services, and wealth management solutions to both institutional and individual clients. With its roots extending back to 1784, BNY Mellon has established itself as a trusted steward of over $45 trillion in assets, utilizing cutting-edge technology and deep industry expertise to provide unparalleled asset management and protection. Headquartered in New York City and operating across more than 35 countries, the company is well-positioned to navigate the complexities of the financial landscape and address the dynamic needs of its diverse clientele.",1390777,NYSE,USD,USA,FINANCIAL SERVICES,BANKS - DIVERSIFIED,"240 GREENWICH STREET, NEW YORK, NY, UNITED STATES, 10286",https://www.bny.com,December,2025-09-30,77433651000,None,16.03,1.022,55.99,1.94,0.0175,6.89,27.51,0.266,0.374,0.0119,0.121,19734000000,19734000000,6.89,0.253,0.1,118.1,4,6,6,0,1,16.03,13.79,3.924,1.983,6.04,-,1.123,113.74,69.3,107.71,94.24,697349000,695620000,0.172,86.565,2025-11-07,2025-10-27
BA,Common Stock,The Boeing Company,"The Boeing Company (NYSE: BA) is a premier global aerospace leader, specializing in the design, manufacture, and sale of commercial aircraft, defense systems, rotorcraft, and space technologies. Renowned for its commitment to innovation and excellence, Boeing also provides advanced leasing and product support services to a varied clientele worldwide. The company's strategic focus on sustainability and technological advancement positions it favorably for future growth, underscoring its pivotal role in the evolution of the aerospace and defense industries. As a trusted partner for governments and enterprises alike, Boeing is dedicated to delivering cutting-edge solutions that meet the demands of an ever-evolving market landscape.",12927,NYSE,USD,USA,INDUSTRIALS,AEROSPACE & DEFENSE,"929 LONG BRIDGE DRIVE, ARLINGTON, VA, UNITED STATES, 22202-4208",https://www.boeing.com,December,2025-09-30,147899384000,-6153999872,None,6.53,-10.87,None,None,-13.69,107.31,-0.122,-0.204,-0.0351,0,80756998000,965000000,-13.69,-0.68,0.304,249.32,3,16,6,0,0,-,83.33,1.831,-,2.208,111.56,1.17,242.69,128.88,212.8,200.85,760095000,728240000,0.072,74.226,2020-03-06,2020-02-13
BKNG,Common Stock,Booking Holdings Inc,"Booking Holdings Inc. is a premier American travel technology firm based in Norwalk, Connecticut, and operates a diverse suite of online travel platforms, including well-known brands such as Booking.com, Priceline.com, Agoda.com, and Kayak.com. As a leader in the global travel market, the company leverages innovative, data-driven strategies to optimize user journeys and enhance service offerings across the travel spectrum. With a strong emphasis on technological advancement and customer-centric solutions, Booking Holdings continues to achieve robust financial growth while adeptly addressing the dynamic demands of travelers worldwide.",1075531,NASDAQ,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"800 CONNECTICUT AVENUE, NORWALK, CT, UNITED STATES, 06854",https://www.bookingholdings.com,December,2025-09-30,163606266000,9819000000,33.0,1.02,-146.6,37.55,0.0074,152.95,796.51,0.194,0.449,0.203,2.257,26038999000,22652000000,152.95,0.135,0.127,6210.11,4,23,13,0,0,33.0,19.38,6.28,34.95,6.32,17.92,1.251,5829.37,4082.14,5261.72,5200.08,32233800,32134900,0.168,97.497,2025-12-31,2025-12-05
BSX,Common Stock,Boston Scientific Corp,"Boston Scientific Corporation (BSX) stands as a prominent global leader in the medical device industry, delivering advanced solutions across various medical specialties such as cardiology, neuromodulation, and oncology. The company is deeply committed to innovation, leveraging its robust research and development capabilities to enhance patient outcomes through transformative technologies. With a diverse and comprehensive product portfolio, Boston Scientific is strategically positioned to navigate the dynamic healthcare landscape, addressing the complex challenges of modern medicine and improving patient care worldwide.",885725,NYSE,USD,USA,HEALTHCARE,MEDICAL DEVICES,"300 BOSTON SCIENTIFIC WAY, MARLBOROUGH, MA, UNITED STATES, 01752-1234",https://www.bostonscientific.com,December,2025-09-30,155626766000,5071000000,56.11,1.027,15.78,None,None,1.83,13.09,0.144,0.207,0.0576,0.125,19349000000,13221000000,1.83,0.6,0.203,126.48,7,25,2,0,0,56.11,30.3,8.04,6.65,8.6,33.55,0.674,109.5,85.98,99.73,101.85,1482442000,1478158000,0.193,94.499,None,None
BMY,Common Stock,Bristol-Myers Squibb Company,"Bristol-Myers Squibb Company (BMY) is a leading biopharmaceutical firm based in New York City, recognized for its pioneering innovations in the development of impactful therapies across crucial therapeutic areas such as oncology, immunology, cardiovascular diseases, and hematology. The company's robust portfolio includes several industry-leading medications that effectively address significant unmet medical needs, complemented by a promising pipeline and strategic partnerships aimed at enhancing its market position. BMY's steadfast commitment to advancing healthcare through rigorous research and development initiatives not only solidifies its competitive edge but also highlights its potential for sustained growth within the biopharmaceutical industry.",14272,NYSE,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"ROUTE 206 & PROVINCE LINE ROAD, PRINCETON, NJ, UNITED STATES, 08543",https://www.bms.com,December,2025-09-30,94967882000,19217000000,15.71,2.256,9.11,2.48,0.051,2.97,23.63,0.126,0.316,0.0939,0.338,48034001000,35135001000,2.97,0.809,0.028,52.73,3,3,19,1,0,15.71,8.04,1.977,5.34,2.78,8.96,0.309,61.0,42.38,45.35,49.72,2035753000,2032129000,0.085,81.054,2025-11-03,2025-10-03
AVGO,Common Stock,Broadcom Inc,"Broadcom Inc. is a premier American technology firm that excels in semiconductor and infrastructure software solutions, serving vital sectors including data centers, networking, broadband, wireless, and storage. The company is recognized for its cutting-edge products that enhance connectivity and data processing, thereby facilitating digital transformation across diverse industries. With a strategic focus on growth through acquisitions and substantial research and development investments, Broadcom is strategically positioned to leverage emerging technologies such as 5G, cloud computing, and the Internet of Things (IoT). As a dominant player in the global semiconductor market, Broadcom is poised for sustained growth in an increasingly interconnected landscape.",1730168,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"3421 HILLVIEW AVE, PALO ALTO, CA, UNITED STATES, 94304",https://www.broadcom.com,October,2025-07-31,1617220993000,32746000000,86.92,0.515,59.22,2.36,0.0069,3.94,12.76,0.316,0.318,0.089,0.271,59926000000,46253998000,3.94,1.881,0.164,393.97,7,36,3,0,0,86.92,36.5,26.99,21.91,27.68,51.62,1.21,386.48,137.54,348.93,264.6,4722365000,405793000,2.013,79.169,2025-09-30,2025-09-22
BR,Common Stock,Broadridge Financial Solutions Inc,"Broadridge Financial Solutions Inc. (BR) is a premier provider of technology-enabled services for the financial services sector, focusing on investor communications and securities processing. Established in 2007 as a spinoff from Automatic Data Processing, the company has developed a robust portfolio that includes critical functions such as proxy voting, shareholder communications, and regulatory compliance for public companies. With a commitment to innovation and operational efficiency, Broadridge is well-positioned to leverage the accelerating demand for digital transformation in the financial industry, presenting a compelling opportunity for institutional investors looking to engage in a dynamic market environment.",1383312,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"5 DAKOTA DRIVE, LAKE SUCCESS, NY, UNITED STATES, 11042",https://www.broadridge.com,June,2025-09-30,26387431000,1743700000,28.91,1.806,22.58,3.615,0.016,7.82,60.24,0.131,0.119,0.0952,0.382,7055600000,2211500000,7.82,1.059,0.117,269.38,3,1,5,0,0,28.91,24.04,3.74,9.99,4.184,18.12,0.997,270.85,210.73,233.8,239.69,116728000,116116000,0.469,93.739,2025-10-02,2025-12-12
BRO,Common Stock,Brown & Brown Inc,"Brown & Brown, Inc. is a leading insurance brokerage firm based in Daytona Beach, Florida, offering a comprehensive suite of insurance products and services both domestically and internationally, including markets in Bermuda, Canada, the Cayman Islands, Ireland, and the United Kingdom. With a strong network of independent agents, the company emphasizes innovation in insurance solutions, enabling it to effectively navigate market dynamics and meet diverse customer needs. Brown & Brown's strategic focus on growth through acquisitions and its solid operational performance reinforce its prominent position within the competitive insurance industry, positioning it well for continued success.",79282,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE BROKERS,"300 NORTH BEACH STREET, DAYTONA BEACH, FL, UNITED STATES, 32114",https://www.bbrown.com,December,2025-09-30,27552657000,1768000000,24.31,4.41,36.75,0.6,0.0075,3.32,17.97,0.187,0.241,0.0394,0.107,5350000000,2651000000,3.32,-0.161,0.342,95.83,1,4,8,0,1,24.31,16.75,5.15,2.207,6.38,18.27,0.816,125.05,76.17,88.73,103.97,341421000,294055000,13.038,85.829,2025-11-12,2025-11-05
BLDR,Common Stock,Builders FirstSource Inc,"Builders FirstSource, Inc. (BLDR) is a premier manufacturer and supplier of building materials and components, primarily catering to professional home builders, subcontractors, and remodelers across the United States. With its headquarters in Dallas, Texas, the company is integral to the construction supply chain, providing a vast array of products and services to support both residential and commercial markets. Builders FirstSource emphasizes operational efficiency and customer satisfaction, positioning itself strongly to leverage growth opportunities in the evolving construction landscape and respond effectively to emerging housing trends.",1316835,NYSE,USD,USA,INDUSTRIALS,BUILDING PRODUCTS & EQUIPMENT,"6031 CONNECTION DRIVE, IRVING, TX, UNITED STATES, 75039",https://www.bldr.com,December,2025-09-30,11488217000,1601420000,19.74,0.81,39.04,None,None,5.24,139.17,0.038,0.0581,0.0576,0.136,15653057000,4847938000,5.24,-0.549,-0.069,135.33,2,8,8,1,0,19.74,18.12,0.734,2.662,1.04,10.14,1.561,194.36,102.6,122.76,126.5,110581000,107533000,2.640,107.745,None,None
BG,Common Stock,Bunge Limited,"Bunge Limited (NYSE: BG) is a prominent global agribusiness and food company based in St. Louis, Missouri, recognized for its extensive supply chain capabilities in sourcing, processing, and distributing agricultural commodities like grains and oilseeds. The company leverages its integrated operations to produce a diverse array of food products for both consumers and industrial clients, effectively positioning itself to capture growth within the food and biofuels sectors. Bunge's commitment to sustainable practices underscores its dedication to responsible resource management and innovation, reinforcing its competitive edge in a dynamic market.",1996862,NYSE,USD,USA,CONSUMER DEFENSIVE,FARM PRODUCTS,"1391 TIMBERLAKE MANOR PARKWAY, CHESTERFIELD, MO, UNITED STATES, 63017",https://www.bunge.com,December,2025-09-30,18736685000,2084000000,10.92,1.705,81.53,2.778,0.0287,8.79,398.81,0.022,0.0219,0.0259,0.0976,60109001000,3421000000,8.79,-0.46,0.716,103.78,1,5,3,0,0,10.92,11.19,0.312,1.188,0.546,11.3,0.78,99.55,65.6,88.06,80.15,193361000,159138000,17.780,77.195,2026-03-03,2025-11-17
BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. (BXP) is a prominent real estate investment trust (REIT) recognized for its strategic focus on the acquisition, development, and management of premier office properties in major metropolitan areas across the United States, including iconic markets such as Boston, Los Angeles, New York City, San Francisco, and Washington, D.C. With a robust and diverse portfolio, BXP seeks to maximize shareholder value through disciplined investment strategies, innovative development initiatives, and a commitment to sustainability and operational efficiency. The company’s proactive approach to asset management enables it to adapt effectively to changing market conditions, solidifying its position as a leading player in the competitive real estate landscape.",1037540,NYSE,USD,USA,REAL ESTATE,REIT - OFFICE,"PRUDENTIAL CENTER, 800 BOYLSTON STREET, BOSTON, MA, UNITED STATES, 02199-8103",https://www.bxp.com,December,2025-09-30,12524276000,1903377000,None,0.301,31.56,3.64,0.0514,-1.28,21.64,-0.0585,0.286,0.0238,-0.0188,3425025000,2066869000,-1.28,0.105,0.018,80,3,7,13,0,0,-,31.65,3.657,2.24,8.0,19.52,1.011,80.49,52.95,73.35,69.32,158469000,147125000,0.383,109.528,2025-10-31,2025-09-30
CHRW,Common Stock,CH Robinson Worldwide Inc,"C.H. Robinson Worldwide Inc. (CHRW) is a prominent Fortune 500 company that specializes in multimodal transportation and logistics solutions, playing a vital role in the global supply chain ecosystem. The firm offers an extensive range of services, including freight transportation, transportation management, and third-party logistics, which encompass truckload, less than truckload, air freight, intermodal, and ocean transportation. C.H. Robinson distinguishes itself through its commitment to technology and innovation, utilizing advanced data analytics and a vast network to optimize supply chain efficiencies and visibility for a wide array of clients across different sectors.",1043277,NASDAQ,USD,USA,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,"14701 CHARLSON ROAD, EDEN PRAIRIE, MN, UNITED STATES, 55347-5076",https://www.chrobinson.com,December,2025-09-30,18051361000,871163000,30.68,2.134,15.68,2.48,0.0164,4.98,137.06,0.0364,0.0558,0.0958,0.343,16504785000,1386719000,4.98,0.675,-0.109,152.2,2,13,10,2,0,30.68,26.25,1.094,9.64,1.168,21.46,0.909,158.7,83.72,135.76,109.65,118137000,117691000,0.813,96.524,2026-01-05,2025-12-05
CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc. (CDNS), based in San Jose, California, is a leading provider of electronic design automation (EDA) software and engineering services that drive advancements in semiconductor innovation. The company offers a wide range of solutions tailored for integrated circuit design, system on chip (SoC) development, and printed circuit board (PCB) design, enabling clients to significantly increase productivity and reduce time-to-market. By leveraging advanced technologies, including artificial intelligence and machine learning, Cadence enhances design processes and performance, positioning itself as an essential partner for organizations navigating the complexities of modern electronic design challenges.",813672,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - APPLICATION,"BUILDING 5, SAN JOSE, CA, UNITED STATES, 95134",https://www.cadence.com,December,2025-09-30,86012789000,1882691000,81.38,3.162,19.1,None,None,3.87,19.19,0.203,0.351,0.111,0.217,5212626000,4459140000,3.87,0.207,0.101,381.64,5,14,4,1,0,81.38,39.84,16.5,16.54,16.45,47.59,1.043,376.45,221.56,341.41,309.99,272201000,271107000,0.303,92.170,None,None
CZR,Common Stock,Caesars Entertainment Corporation,"Caesars Entertainment Corporation is a premier American hospitality and gaming entity, headquartered in Reno, Nevada, with a vast portfolio of over 50 properties across the United States. Evolving from its roots as Eldorado Resorts, Inc., Caesars has firmly entrenched itself as a leader in the casino and entertainment sectors, offering a comprehensive suite of gaming, dining, and lodging experiences that cater to diverse customer preferences. The company's strong brand equity and commitment to innovation position it favorably for sustained growth in both mature and emerging markets, appealing to a broad spectrum of leisure and gaming enthusiasts. With a focus on operational excellence and customer loyalty, Caesars is well-equipped to navigate the dynamics of the evolving gaming landscape.",1590895,NASDAQ,USD,USA,CONSUMER CYCLICAL,RESORTS & CASINOS,"100 WEST LIBERTY STREET, RENO, NV, UNITED STATES, 89501",https://www.caesars.com,December,2025-09-30,4037255000,3467000000,None,3.262,18.45,None,None,-1.15,54.2,-0.0212,0.179,0.0395,-0.0426,11369000000,5713000000,-1.15,0.417,-0.002,34.71,3,11,3,0,0,-,24.39,0.355,1.066,2.468,7.8,2.065,40,18.25,23.45,27.35,204108000,193470000,0.959,102.190,None,None
CPT,Common Stock,Camden Property Trust,"Camden Property Trust (CPT) is a leading real estate investment trust (REIT) specializing in the acquisition, management, and development of high-quality multifamily residential properties across the United States. As a member of the S&P 400, Camden is focused on portfolio growth through strategic acquisitions and operational enhancements, emphasizing sustainability and innovation in its practices. With a robust pipeline of development projects and a commitment to responding to evolving market demands, Camden offers institutional investors compelling opportunities for capital appreciation and income generation in the thriving multifamily sector.",906345,NYSE,USD,USA,REAL ESTATE,REIT - RESIDENTIAL,"2800 POST OAK BOULEVARD, HOUSTON, TX, UNITED STATES, 77056",https://www.camdenliving.com,December,2025-09-30,10922545000,892786000,41.56,8.96,41.84,4.18,0.0411,2.47,14.54,0.171,0.16,0.0199,0.0593,1578428000,970962000,2.47,0.874,0.021,117.54,2,8,13,1,1,41.56,68.97,6.92,2.387,9.27,14.18,0.832,123.08,97.17,104.32,112.44,106395000,104564000,1.345,97.025,2025-10-17,2025-09-30
CPB,Common Stock,Campbell’s Co,"Campbell Soup Company (CPB) is a leading American food manufacturer recognized for its diverse portfolio of well-established brands, including Campbell's soups, Pepperidge Farm, and V8 beverages. Committed to innovation and sustainability, the company effectively responds to shifting consumer preferences for health and convenience in meal solutions. With a strong global distribution network and significant brand equity, Campbell is well-positioned to leverage market opportunities within the dynamic food industry. By aligning its strategic initiatives with evolving consumer trends, Campbell Soup Company seeks to drive long-term growth and maximize shareholder value.",16732,NYSE,USD,USA,CONSUMER DEFENSIVE,PACKAGED FOODS,"1 CAMPBELL PLACE, CAMDEN, NJ, UNITED STATES, 08103-1799",https://www.thecampbellscompany.com,July,2025-07-31,9315128000,1890000000,15.57,0.774,13.09,1.54,0.0493,2.01,34.41,0.0587,0.131,0.0612,0.156,10253000000,3151000000,2.01,-0.5,0.012,34.37,0,3,13,2,3,15.57,12.71,0.908,2.384,1.598,10.4,-0.055,44.94,29.03,31.6,34.39,297703000,191970000,35.090,64.018,2025-11-03,2025-10-02
COF,Common Stock,Capital One Financial Corporation,"Capital One Financial Corporation (COF), based in McLean, Virginia, is a prominent banking institution recognized for its innovative credit card products, auto financing, and comprehensive banking services. As a key player in the U.S. financial services sector, Capital One prioritizes digital solutions and customer-centric strategies, which enhance user experience and operational efficiency. By leveraging advanced technology and data analytics, the company strengthens its risk management capabilities and remains agile in responding to market changes. With a strong emphasis on innovation, Capital One is well-positioned to seize emerging opportunities and navigate the evolving financial landscape effectively.",927628,NYSE,USD,USA,FINANCIAL SERVICES,CREDIT SERVICES,"1680 CAPITAL ONE DRIVE, MCLEAN, VA, UNITED STATES, 22102",https://www.capitalone.com,December,2025-09-30,137827041000,None,74.09,0.576,170.52,2.4,0.0111,2.85,60.4,0.049,0.387,0.0025,0.0162,28886000000,28886000000,2.85,0.095,0.679,260.24,3,14,6,0,0,74.09,10.08,4.771,1.211,3.912,-,1.165,231.82,142.38,218.77,202.08,635734000,622866000,1.814,88.616,2025-12-01,2025-11-17
CAH,Common Stock,Cardinal Health Inc,"Cardinal Health, Inc. is a leading American multinational health care services and products company that operates across the global healthcare supply chain. With a strong focus on delivering essential pharmaceuticals and medical products, Cardinal Health partners with healthcare providers and manufacturers to enhance patient care and optimize operational efficiency. The company is also heavily invested in innovative solutions within the healthcare ecosystem, including data analytics and medication management. Cardinal Health's extensive network and logistical capabilities position it as a critical player in the evolving landscape of healthcare delivery.",721371,NYSE,USD,USA,HEALTHCARE,MEDICAL DISTRIBUTION,"7000 CARDINAL PLACE, DUBLIN, OH, UNITED STATES, 43017",https://www.cardinalhealth.com,June,2025-09-30,48958833000,3544000000,31.07,1.959,-12.1,2.033,0.0099,6.61,977.31,0.0068,0.0121,0.0344,0,234309992000,8585000000,6.61,0.106,0.224,212.43,1,10,4,0,1,31.07,21.14,0.209,16.07,0.228,16.37,0.644,208.32,112.98,165.59,150.34,237595000,237174000,0.262,89.315,2026-01-15,2026-01-02
KMX,Common Stock,CarMax Inc,"CarMax Inc. (Ticker: KMX) is a leading retailer of used vehicles in the United States, distinguished by its innovative, customer-centric business model that seamlessly integrates a robust physical footprint with a comprehensive online platform. The company operates primarily through two segments: CarMax Sales Operations, which focuses on the retail of pre-owned vehicles, and CarMax Auto Finance, providing tailored financing solutions to enhance the car buying experience. With a commitment to transparency, value, and technological innovation, CarMax is constantly evolving its operations to better meet the diverse needs of today's consumers while expanding its market share in the competitive automotive retail sector.",1170010,NYSE,USD,USA,CONSUMER CYCLICAL,AUTO & TRUCK DEALERSHIPS,"12800 TUCKAHOE CREEK PARKWAY, RICHMOND, VA, UNITED STATES, 23238",https://www.carmax.com,February,2025-08-31,5108739000,1127292000,10.22,0.501,41.99,None,None,3.37,185.53,0.0184,0.0214,0.0186,0.0842,28279818000,3520315000,3.37,-0.248,-0.053,41.17,3,4,10,0,2,10.22,9.75,0.181,0.824,0.899,12.47,1.287,91.25,30.26,46.53,63.15,146845000,145987000,0.430,109.294,None,None
CCL,Common Stock,Carnival Corporation,"Carnival Corporation & plc is the world's leading cruise operator, managing a diverse fleet of over 100 ships under ten prominent brands, including Carnival Cruise Line, Holland America Line, and Princess Cruises. Headquartered in both the UK and the US, the company is well-positioned to benefit from the growing demand for cruise vacations, driven by a combination of strong brand recognition and extensive operational experience. Emphasizing sustainability and innovation, Carnival is committed to enhancing the guest experience while adapting to evolving consumer preferences. Its strategic initiatives and proven resilience in the face of market fluctuations highlight Carnival's potential for long-term growth and sustained value creation, making it a compelling investment for institutional stakeholders.",815097,NYSE,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"3655 N.W. 87TH AVENUE, MIAMI, FL, UNITED STATES, 33178-2428",https://www.carnivalcorp.com,November,2025-08-31,34325705000,6977000000,13.48,1.41,9.09,None,None,1.93,20.06,0.101,0.279,0.0528,0.257,26230000000,14433000000,1.93,0.06,0.033,35.7,5,16,7,0,0,13.48,10.94,1.309,2.878,2.304,8.86,2.527,32.8,15.07,29.08,25.67,1167541000,1223841000,7.585,75.928,2020-03-13,2020-02-20
CARR,Common Stock,Carrier Global Corp,"Carrier Global Corporation, headquartered in Palm Beach Gardens, Florida, is a leading American multinational company at the forefront of innovative heating, ventilation, and air conditioning (HVAC) solutions. Renowned for its commitment to sustainability and energy efficiency, Carrier leverages advanced technologies to enhance comfort across both residential and commercial sectors. As a significant player in the global climate control market, the company is dedicated to smart building technologies and reducing carbon emissions, positioning itself as a key player in the transition to greener infrastructure. With a diverse and innovative product portfolio, Carrier is well-equipped to navigate the rapidly evolving market landscape, maintaining a competitive edge in the HVAC industry.",1783180,NYSE,USD,USA,INDUSTRIALS,BUILDING PRODUCTS & EQUIPMENT,"13995 PASTEUR BOULEVARD, PALM BEACH GARDENS, FL, UNITED STATES, 33418",https://www.corporate.carrier.com,December,2025-09-30,46456291000,3650000000,34.46,14.98,17.19,0.9,0.0163,1.57,25.5,0.18,0.0955,0.0381,0.0998,22058000000,6035000000,1.57,0.005,-0.068,72.69,2,11,11,0,0,34.46,17.99,2.106,3.202,2.601,13.63,1.292,80.78,53.68,59.08,65.81,842210000,789909000,6.093,87.894,2025-11-18,2025-10-29
CAT,Common Stock,Caterpillar Inc,"Caterpillar Inc. (CAT) is a leading American multinational corporation specializing in the design, manufacture, and marketing of construction and mining equipment, engines, and related financial services. As a key player in the Fortune 100, Caterpillar leverages a vast global presence supported by a robust dealer network, serving diverse industries such as construction, agriculture, and energy. Committed to innovation and sustainability, the company integrates cutting-edge technologies to enhance operational efficiency while addressing environmental challenges, positioning itself as a responsible leader in the heavy equipment sector.",18230,NYSE,USD,USA,INDUSTRIALS,FARM & HEAVY CONSTRUCTION MACHINERY,"5205 NORTH O'CONNOR BOULEVARD, IRVING, TX, UNITED STATES, 75039",https://www.caterpillar.com,December,2025-09-30,259551379000,13958000000,28.41,1.919,44.14,5.84,0.0106,19.5,136.6,0.143,0.177,0.082,0.463,64670999000,19478999000,19.5,-0.036,0.095,581.54,1,11,12,2,0,28.41,25.25,4.013,12.55,4.536,20.29,1.562,596.21,264.25,506.17,398.94,468479000,466576000,0.213,71.840,2025-11-20,2025-10-20
CBOE,Common Stock,Cboe Global Markets Inc,"Cboe Global Markets Inc. is a leading U.S. exchange operator known for its innovative and diverse trading solutions. It owns the Chicago Board Options Exchange (CBOE), the largest options marketplace in the world, and BATS Global Markets, a significant liquidity provider for equities and ETPs. Cboe specializes in derivatives and innovative products, facilitating trading across multiple asset classes, including equities, options, and futures. With a commitment to enhancing market structure and ensuring risk management, Cboe is well-positioned in a dynamic financial landscape, catering to both institutional and individual investors.",1374310,BATS,USD,USA,FINANCIAL SERVICES,FINANCIAL DATA & STOCK EXCHANGES,"433 WEST VAN BUREN STREET, CHICAGO, IL, UNITED STATES, 60607",https://www.cboe.com,December,2025-09-30,27202865000,1497000000,27.93,2.292,46.69,2.61,0.01,9.25,44.09,0.213,0.329,0.0973,0.216,4617800000,2282500000,9.25,0.377,0.081,256.67,1,2,13,2,1,27.93,26.74,5.89,5.57,5.9,17.37,0.357,262.98,185.65,241.49,229.44,104645000,104050000,0.227,91.166,2025-12-15,2025-11-28
CBRE,Common Stock,CBRE Group Inc Class A,"CBRE Group, Inc. is the preeminent global leader in commercial real estate services and investment, delivering an extensive suite of integrated offerings including property management, leasing, investment sales, and development. Utilizing advanced technology and comprehensive market intelligence, CBRE effectively identifies and harnesses emerging opportunities, assisting a diverse range of clients from investors to occupiers in maneuvering the intricacies of real estate transactions. With a significant global footprint and a commitment to innovation, CBRE is uniquely positioned to enhance value and drive strategic success in the ever-evolving real estate sector.",1138118,NYSE,USD,USA,REAL ESTATE,REAL ESTATE SERVICES,"2121 NORTH PEARL STREET, DALLAS, TX, UNITED STATES, 75201",https://www.cbre.com,December,2025-09-30,45728141000,2649000000,38.03,0.855,29.12,None,None,4.04,131.04,0.0312,0.0492,0.0443,0.141,39325000000,7588000000,4.04,0.658,0.135,175.27,3,6,2,0,1,38.03,21.19,1.163,5.34,1.358,23.53,1.342,171,108.45,157.48,142.26,297593000,290823000,0.524,98.024,None,2024-04-19
