Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate,ticker,ingest_timestamp
BAX,Common Stock,Baxter International Inc,"Baxter International Inc. is a leading American multinational healthcare company headquartered in Deerfield, Illinois, focused on enhancing patient outcomes through innovative medical technologies. Specializing in critical therapies for hemophilia, kidney disease, and immune disorders, Baxter offers a comprehensive portfolio aimed at addressing both chronic and acute medical conditions. With a strong commitment to quality and patient-centric solutions, the company is well-equipped to navigate the complexities of the global healthcare landscape, positioning itself for sustained growth and impact in the industry.",10456,NYSE,USD,USA,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,"ONE BAXTER PARKWAY, DEERFIELD, IL, UNITED STATES, 60015",https://www.baxter.com,December,2025-09-30,9612843000,2074000000,None,34.23,14.09,0.68,0.0364,-0.7,21.49,-0.0309,0.101,0.0285,-0.0466,11023000000,4181000000,-0.7,2.379,0.05,24.07,1,2,13,1,0,-,7.87,0.872,1.311,1.586,16.86,0.611,37.27,17.47,21.92,27.87,514056000,511897000,0.371,103.460,2026-01-02,2025-11-28,BAX,2025-11-16 07:50:22.602010
BDX,Common Stock,Becton Dickinson and Company,"Becton, Dickinson and Company (BDX) is a leading American multinational medical technology company renowned for its development and production of critical medical devices, instrument systems, and reagents that significantly improve global healthcare outcomes. With a diversified portfolio that supports a wide array of diagnostic and therapeutic procedures, BDX effectively addresses the evolving needs of the healthcare community while providing analytical and consulting services to enhance its operational footprint. Driven by a robust commitment to innovation, underscored by considerable investments in research and development, BDX is poised to capitalize on emerging trends in the medical technology sector, solidifying its position as a key player in advancing healthcare solutions.",10795,NYSE,USD,USA,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES,"1 BECTON DRIVE, FRANKLIN LAKES, NJ, UNITED STATES, 07417-1880",https://www.bd.com,September,2025-06-30,55330562000,5635000000,33.23,0.993,88.59,4.16,0.0215,5.81,75.93,0.0768,0.15,0.0352,0.0654,21839999000,10023000000,5.81,0.252,0.083,201.49,2,3,10,0,0,33.23,12.92,2.534,2.179,3.382,14.9,0.285,248.0,161.47,186.66,194.05,286627000,285979000,0.567,93.627,2025-12-31,2025-12-08,BDX,2025-11-16 07:50:23.156383
BBY,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. (BBY) is a prominent American retailer headquartered in Richfield, Minnesota, specializing in consumer electronics, appliances, and technology services. With an integrated dual-channel approach that effectively marries its extensive network of physical locations with a dynamic e-commerce platform, Best Buy has successfully adapted to the changing retail environment while prioritizing customer engagement through tailored services and innovative offerings. The company's solid financial performance, dedication to sustainability, and proactive adoption of technological advancements make it an appealing investment choice for institutional investors aiming to gain exposure in the technology retail sector.",764478,NYSE,USD,USA,CONSUMER CYCLICAL,SPECIALTY RETAIL,"7601 PENN AVENUE SOUTH, RICHFIELD, MN, UNITED STATES, 55423",https://bestbuy.com,January,2025-07-31,16005514000,2575000000,20.86,1.036,12.91,3.78,0.0496,3.63,195.25,0.0187,0.0387,0.0698,0.267,41598001000,9378000000,3.63,-0.351,0.016,82.24,2,8,16,0,1,20.86,11.3,0.385,5.86,0.445,9.48,1.389,90.84,53.55,77.66,73.76,210101000,194961000,7.532,89.984,2025-10-09,2025-09-18,BBY,2025-11-16 07:50:24.257492
TECH,Common Stock,Bio-Techne Corp,"Bio-Techne Corporation (Ticker: TECH) is a leading global provider of high-quality life science reagents, instruments, and services, with a strategic emphasis on clinical diagnostics and research. Headquartered in Minneapolis, Minnesota, the company leverages advanced technologies to drive innovation in critical domains such as genomics, proteomics, and cellular analysis. Catering to a diverse clientele that includes academic institutions, pharmaceutical companies, and clinical laboratories, Bio-Techne is positioned as a key player in the advancement of scientific research and diagnostic solutions worldwide, fostering growth and development in the life sciences industry.",842023,NASDAQ,USD,USA,HEALTHCARE,BIOTECHNOLOGY,"614 MCKINLEY PLACE N.E., MINNEAPOLIS, MN, UNITED STATES, 55413",https://www.bio-techne.com,June,2025-09-30,9462435000,318481000,121.18,0.81,12.62,0.32,0.0053,0.49,7.76,0.0641,0.145,0.0609,0.038,1216732000,813205000,0.49,0.143,-0.01,69.17,0,11,4,0,0,121.18,29.67,7.78,4.708,7.81,42.88,1.467,78.94,45.87,58.22,56.0,155813000,153938000,0.282,107.013,2025-11-28,2025-11-17,TECH,2025-11-16 07:50:24.811788
BIIB,Common Stock,Biogen Inc,"Biogen Inc. is a leading biotechnology firm based in Cambridge, Massachusetts, renowned for its pioneering work in the discovery and development of innovative therapies for neurological disorders. The company boasts a comprehensive pipeline that addresses critical conditions such as multiple sclerosis, Alzheimer's disease, and spinal muscular atrophy, positioning itself as a key player in meeting substantial unmet medical needs. Committed to advancing therapeutic innovation, Biogen leverages strategic partnerships and a deep commitment to scientific research, reinforcing its status as a prominent leader within the biotechnology industry and its dedication to improving patient outcomes.",875045,NASDAQ,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"225 BINNEY STREET, CAMBRIDGE, MA, UNITED STATES, 02142",https://www.biogen.com,December,2025-09-30,24579967000,3409300000,15.27,6.24,124.11,None,None,10.97,68.81,0.16,0.307,0.0575,0.0931,10065900000,7706800000,10.97,0.192,0.028,176.1,3,13,19,0,0,15.27,10.72,2.442,1.35,2.703,9.29,0.145,169,110.04,148.37,135.9,146702000,146312000,0.150,94.687,None,None,BIIB,2025-11-16 07:50:25.365587
BLK,Common Stock,BlackRock Inc,"BlackRock, Inc. is the world's leading asset management firm, headquartered in New York City, overseeing a vast portfolio that spans trillions of dollars in assets for a diverse clientele that includes both institutional and retail investors. The firm provides an extensive range of investment solutions, featuring equities, fixed income, and alternative investments, while leveraging its cutting-edge Aladdin technology platform to optimize investment decision-making and risk management. Additionally, BlackRock is a pioneer in sustainable investing, integrating environmental, social, and governance (ESG) factors into its strategies to meet the growing demand for responsible investment options and to align with global shifts towards sustainability.",2012383,NYSE,USD,USA,FINANCIAL SERVICES,ASSET MANAGEMENT,"50 HUDSON YARDS, NEW YORK, NY, UNITED STATES, 10001",https://www.blackrock.com,December,2025-09-30,165957157000,8823000000,27.25,1.919,357.9,20.73,0.0194,38.83,147.69,0.266,0.321,0.0333,0.121,22884999000,10908000000,38.83,-0.226,0.252,1334,4,10,3,0,0,27.25,19.68,7.25,2.957,7.28,17.15,1.481,1219.94,766.05,1127.51,1034.65,155151000,144006000,1.983,83.279,2025-09-23,2025-09-05,BLK,2025-11-16 07:50:25.916402
BX,Common Stock,Blackstone Group Inc,"Blackstone Group Inc. (BX) is a leading global alternative asset management firm, renowned for its comprehensive expertise in private equity, real estate, credit, and hedge fund strategies. Headquartered in New York City, with a strategic presence across Asia, Europe, and North America, Blackstone manages a diversified portfolio that encompasses various sectors and regions. With a disciplined investment approach and a proven track record of delivering strong returns, the firm has earned the trust of a diverse client base, including sovereign wealth funds, pension plans, and high-net-worth individuals, reinforcing its status as a dominant player in the alternative investment landscape.",1393818,NYSE,USD,USA,FINANCIAL SERVICES,ASSET MANAGEMENT,"345 PARK AVENUE, NEW YORK, NY, UNITED STATES, 10154",https://www.blackstone.com,December,2025-09-30,170201793000,None,40.64,1.319,10.72,4.69,0.0336,3.48,16.48,0.212,0.446,0.121,0.265,12791218000,12791218000,3.48,-0.214,-0.196,179.56,2,8,12,0,0,40.64,21.88,13.31,13.03,10.75,-,1.762,194.94,113.15,163.09,154.72,738451000,743435000,0.941,71.333,2025-11-10,2025-11-03,BX,2025-11-16 07:50:26.467897
XYZ,Common Stock,"Block, Inc","Block, Inc. is a premier financial technology firm headquartered in Oakland, California, renowned for its comprehensive suite of integrated commerce and payment solutions. The company excels in innovative payment technologies, cryptocurrency services, and data analytics, aimed at optimizing transaction processes for a diverse clientele. With a strong commitment to financial inclusion, Block empowers businesses and enhances consumer experiences within the fast-evolving digital economy. Its forward-thinking approach and continuous platform enhancements position Block as a key player in promoting global financial accessibility and meeting the dynamic needs of its customers.",1512673,NYSE,USD,USA,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,"1955 BROADWAY, OAKLAND, CA, UNITED STATES, 94612",https://www.block.xyz,December,2025-09-30,37857530000,1669601000,12.17,1.205,36.94,None,None,4.97,38.98,0.131,0.0687,0.0226,0.147,23973765000,9857598000,4.97,0.644,0.023,84.11,6,25,11,3,1,12.17,18.08,1.579,1.633,1.304,11.71,2.651,99.26,44.27,74.58,68.33,547667000,541667000,1.243,82.739,None,None,XYZ,2025-11-16 07:50:27.041705
BK,Common Stock,The Bank of New York Mellon Corporation,"The Bank of New York Mellon Corporation (BK) is a premier global investments firm, delivering a wide range of investment management, investment services, and wealth management solutions to both institutional and individual clients. With its roots extending back to 1784, BNY Mellon has established itself as a trusted steward of over $45 trillion in assets, utilizing cutting-edge technology and deep industry expertise to provide unparalleled asset management and protection. Headquartered in New York City and operating across more than 35 countries, the company is well-positioned to navigate the complexities of the financial landscape and address the dynamic needs of its diverse clientele.",1390777,NYSE,USD,USA,FINANCIAL SERVICES,BANKS - DIVERSIFIED,"240 GREENWICH STREET, NEW YORK, NY, UNITED STATES, 10286",https://www.bny.com,December,2025-09-30,77433651000,None,15.94,1.017,55.99,1.94,0.0175,6.93,27.51,0.266,0.374,0.0119,0.121,19734000000,19734000000,6.93,0.253,0.1,118.1,4,6,6,0,1,15.94,13.72,3.924,1.973,6.02,-,1.123,113.74,69.3,107.71,94.24,697349000,695620000,0.172,88.231,2025-11-07,2025-10-27,BK,2025-11-16 07:50:27.593960
BA,Common Stock,The Boeing Company,"The Boeing Company (NYSE: BA) is a premier global aerospace leader, specializing in the design, manufacture, and sale of commercial aircraft, defense systems, rotorcraft, and space technologies. Renowned for its commitment to innovation and excellence, Boeing also provides advanced leasing and product support services to a varied clientele worldwide. The company's strategic focus on sustainability and technological advancement positions it favorably for future growth, underscoring its pivotal role in the evolution of the aerospace and defense industries. As a trusted partner for governments and enterprises alike, Boeing is dedicated to delivering cutting-edge solutions that meet the demands of an ever-evolving market landscape.",12927,NYSE,USD,USA,INDUSTRIALS,AEROSPACE & DEFENSE,"929 LONG BRIDGE DRIVE, ARLINGTON, VA, UNITED STATES, 22202-4208",https://www.boeing.com,December,2025-09-30,147899384000,-6153999872,None,6.53,-10.87,None,None,-13.69,107.31,-0.122,-0.204,-0.0351,0,80756998000,965000000,-13.69,-0.68,0.304,249.32,3,16,6,0,0,-,96.15,1.831,-,2.207,111.56,1.17,242.69,128.88,212.8,200.85,760095000,728240000,0.072,74.271,2020-03-06,2020-02-13,BA,2025-11-16 07:50:28.150021
BKNG,Common Stock,Booking Holdings Inc,"Booking Holdings Inc. is a premier American travel technology firm based in Norwalk, Connecticut, and operates a diverse suite of online travel platforms, including well-known brands such as Booking.com, Priceline.com, Agoda.com, and Kayak.com. As a leader in the global travel market, the company leverages innovative, data-driven strategies to optimize user journeys and enhance service offerings across the travel spectrum. With a strong emphasis on technological advancement and customer-centric solutions, Booking Holdings continues to achieve robust financial growth while adeptly addressing the dynamic demands of travelers worldwide.",1075531,NASDAQ,USD,USA,CONSUMER CYCLICAL,TRAVEL SERVICES,"800 CONNECTICUT AVENUE, NORWALK, CT, UNITED STATES, 06854",https://www.bookingholdings.com,December,2025-09-30,163606266000,9819000000,32.89,1.014,-146.6,37.55,0.0074,153.46,796.51,0.194,0.449,0.203,2.257,26038999000,22652000000,153.46,0.135,0.127,6210.11,4,23,13,0,0,32.89,19.27,6.28,34.95,6.29,17.82,1.251,5829.37,4082.14,5261.72,5200.08,32233800,32134900,0.168,96.841,2025-12-31,2025-12-05,BKNG,2025-11-16 07:50:28.700910
BSX,Common Stock,Boston Scientific Corp,"Boston Scientific Corporation (BSX) stands as a prominent global leader in the medical device industry, delivering advanced solutions across various medical specialties such as cardiology, neuromodulation, and oncology. The company is deeply committed to innovation, leveraging its robust research and development capabilities to enhance patient outcomes through transformative technologies. With a diverse and comprehensive product portfolio, Boston Scientific is strategically positioned to navigate the dynamic healthcare landscape, addressing the complex challenges of modern medicine and improving patient care worldwide.",885725,NYSE,USD,USA,HEALTHCARE,MEDICAL DEVICES,"300 BOSTON SCIENTIFIC WAY, MARLBOROUGH, MA, UNITED STATES, 01752-1234",https://www.bostonscientific.com,December,2025-09-30,155626766000,5071000000,54.91,1.004,15.78,None,None,1.87,13.09,0.144,0.207,0.0576,0.125,19349000000,13221000000,1.87,0.6,0.203,126.48,7,25,2,0,0,54.91,29.67,8.04,6.51,8.42,32.86,0.674,109.5,85.98,99.73,101.85,1482442000,1478158000,0.193,94.382,None,None,BSX,2025-11-16 07:50:29.257472
BMY,Common Stock,Bristol-Myers Squibb Company,"Bristol-Myers Squibb Company (BMY) is a leading biopharmaceutical firm based in New York City, recognized for its pioneering innovations in the development of impactful therapies across crucial therapeutic areas such as oncology, immunology, cardiovascular diseases, and hematology. The company's robust portfolio includes several industry-leading medications that effectively address significant unmet medical needs, complemented by a promising pipeline and strategic partnerships aimed at enhancing its market position. BMY's steadfast commitment to advancing healthcare through rigorous research and development initiatives not only solidifies its competitive edge but also highlights its potential for sustained growth within the biopharmaceutical industry.",14272,NYSE,USD,USA,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,"ROUTE 206 & PROVINCE LINE ROAD, PRINCETON, NJ, UNITED STATES, 08543",https://www.bms.com,December,2025-09-30,98998673000,19217000000,15.71,2.256,9.11,2.48,0.051,2.97,23.63,0.126,0.316,0.0939,0.338,48034001000,35135001000,2.97,0.809,0.028,52.73,3,3,19,1,0,15.71,7.71,2.061,5.12,2.696,8.69,0.309,61.0,42.38,45.34,49.66,2035753000,2032129000,0.085,82.259,2025-11-03,2025-10-03,BMY,2025-11-16 07:50:29.811073
AVGO,Common Stock,Broadcom Inc,"Broadcom Inc. is a premier American technology firm that excels in semiconductor and infrastructure software solutions, serving vital sectors including data centers, networking, broadband, wireless, and storage. The company is recognized for its cutting-edge products that enhance connectivity and data processing, thereby facilitating digital transformation across diverse industries. With a strategic focus on growth through acquisitions and substantial research and development investments, Broadcom is strategically positioned to leverage emerging technologies such as 5G, cloud computing, and the Internet of Things (IoT). As a dominant player in the global semiconductor market, Broadcom is poised for sustained growth in an increasingly interconnected landscape.",1730168,NASDAQ,USD,USA,TECHNOLOGY,SEMICONDUCTORS,"3421 HILLVIEW AVE, PALO ALTO, CA, UNITED STATES, 94304",https://www.broadcom.com,October,2025-07-31,1617220993000,32746000000,87.81,0.518,59.22,2.36,0.0069,3.9,12.76,0.316,0.318,0.089,0.271,59926000000,46253998000,3.9,1.881,0.164,394.82,7,36,3,0,0,87.81,36.76,26.99,22.07,27.88,51.98,1.21,386.48,137.54,349.09,265.24,4722365000,405793000,2.013,79.504,2025-09-30,2025-09-22,AVGO,2025-11-16 07:50:30.361721
BR,Common Stock,Broadridge Financial Solutions Inc,"Broadridge Financial Solutions Inc. (BR) is a premier provider of technology-enabled services for the financial services sector, focusing on investor communications and securities processing. Established in 2007 as a spinoff from Automatic Data Processing, the company has developed a robust portfolio that includes critical functions such as proxy voting, shareholder communications, and regulatory compliance for public companies. With a commitment to innovation and operational efficiency, Broadridge is well-positioned to leverage the accelerating demand for digital transformation in the financial industry, presenting a compelling opportunity for institutional investors looking to engage in a dynamic market environment.",1383312,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"5 DAKOTA DRIVE, LAKE SUCCESS, NY, UNITED STATES, 11042",https://www.broadridge.com,June,2025-09-30,26387431000,1743700000,28.91,1.831,22.58,3.615,0.016,7.82,60.24,0.131,0.119,0.0952,0.382,7055600000,2211500000,7.82,1.059,0.117,269.38,3,1,5,0,0,28.91,24.33,3.74,10.01,4.192,18.15,0.997,270.85,210.73,233.8,239.69,116728000,116116000,0.469,95.168,2026-01-05,2025-12-12,BR,2025-11-16 07:50:30.915631
BRO,Common Stock,Brown & Brown Inc,"Brown & Brown, Inc. is a leading insurance brokerage firm based in Daytona Beach, Florida, offering a comprehensive suite of insurance products and services both domestically and internationally, including markets in Bermuda, Canada, the Cayman Islands, Ireland, and the United Kingdom. With a strong network of independent agents, the company emphasizes innovation in insurance solutions, enabling it to effectively navigate market dynamics and meet diverse customer needs. Brown & Brown's strategic focus on growth through acquisitions and its solid operational performance reinforce its prominent position within the competitive insurance industry, positioning it well for continued success.",79282,NYSE,USD,USA,FINANCIAL SERVICES,INSURANCE BROKERS,"300 NORTH BEACH STREET, DAYTONA BEACH, FL, UNITED STATES, 32114",https://www.bbrown.com,December,2025-09-30,27552657000,1768000000,24.45,4.41,36.75,0.6,0.0075,3.3,17.97,0.187,0.241,0.0394,0.107,5350000000,2651000000,3.3,-0.161,0.342,95.83,1,4,8,0,1,24.45,16.89,5.15,2.224,6.43,18.39,0.816,125.05,76.17,88.73,103.97,341421000,294055000,13.038,81.245,2025-11-12,2025-11-05,BRO,2025-11-16 07:50:31.466931
BLDR,Common Stock,Builders FirstSource Inc,"Builders FirstSource, Inc. (BLDR) is a premier manufacturer and supplier of building materials and components, primarily catering to professional home builders, subcontractors, and remodelers across the United States. With its headquarters in Dallas, Texas, the company is integral to the construction supply chain, providing a vast array of products and services to support both residential and commercial markets. Builders FirstSource emphasizes operational efficiency and customer satisfaction, positioning itself strongly to leverage growth opportunities in the evolving construction landscape and respond effectively to emerging housing trends.",1316835,NYSE,USD,USA,INDUSTRIALS,BUILDING PRODUCTS & EQUIPMENT,"6031 CONNECTION DRIVE, IRVING, TX, UNITED STATES, 75039",https://www.bldr.com,December,2025-09-30,11488217000,1601420000,19.63,0.81,39.04,None,None,5.27,139.17,0.038,0.0581,0.0576,0.136,15653057000,4847938000,5.27,-0.549,-0.069,135.33,2,8,8,1,0,19.63,18.05,0.734,2.65,1.036,10.11,1.561,194.36,102.6,122.76,126.5,110581000,107533000,2.640,105.884,None,None,BLDR,2025-11-16 07:50:32.566845
BG,Common Stock,Bunge Limited,"Bunge Limited (NYSE: BG) is a prominent global agribusiness and food company based in St. Louis, Missouri, recognized for its extensive supply chain capabilities in sourcing, processing, and distributing agricultural commodities like grains and oilseeds. The company leverages its integrated operations to produce a diverse array of food products for both consumers and industrial clients, effectively positioning itself to capture growth within the food and biofuels sectors. Bunge's commitment to sustainable practices underscores its dedication to responsible resource management and innovation, reinforcing its competitive edge in a dynamic market.",1996862,NYSE,USD,USA,CONSUMER DEFENSIVE,FARM PRODUCTS,"1391 TIMBERLAKE MANOR PARKWAY, CHESTERFIELD, MO, UNITED STATES, 63017",https://www.bunge.com,December,2025-09-30,18736685000,2084000000,10.81,1.705,81.53,2.778,0.0287,8.88,398.81,0.022,0.0219,0.0259,0.0976,60109001000,3421000000,8.88,-0.46,0.716,103.78,1,5,3,0,0,10.81,11.09,0.312,1.177,0.543,11.24,0.78,99.55,65.6,88.06,80.15,193361000,159138000,17.780,75.825,2026-03-03,2025-11-17,BG,2025-11-16 07:50:33.118575
BXP,Common Stock,Boston Properties Inc,"Boston Properties, Inc. (BXP) is a prominent real estate investment trust (REIT) recognized for its strategic focus on the acquisition, development, and management of premier office properties in major metropolitan areas across the United States, including iconic markets such as Boston, Los Angeles, New York City, San Francisco, and Washington, D.C. With a robust and diverse portfolio, BXP seeks to maximize shareholder value through disciplined investment strategies, innovative development initiatives, and a commitment to sustainability and operational efficiency. The company’s proactive approach to asset management enables it to adapt effectively to changing market conditions, solidifying its position as a leading player in the competitive real estate landscape.",1037540,NYSE,USD,USA,REAL ESTATE,REIT - OFFICE,"PRUDENTIAL CENTER, 800 BOYLSTON STREET, BOSTON, MA, UNITED STATES, 02199-8103",https://www.bxp.com,December,2025-09-30,12524276000,1903377000,None,0.3,31.56,3.64,0.0514,-1.28,21.64,-0.0585,0.286,0.0238,-0.0188,3425025000,2066869000,-1.28,0.105,0.018,79.95,3,7,13,0,0,-,31.55,3.657,2.236,7.99,19.5,1.011,80.49,52.95,73.35,69.32,158469000,147143000,0.383,119.358,2025-10-31,2025-09-30,BXP,2025-11-16 07:50:33.670766
CHRW,Common Stock,CH Robinson Worldwide Inc,"C.H. Robinson Worldwide Inc. (CHRW) is a prominent Fortune 500 company that specializes in multimodal transportation and logistics solutions, playing a vital role in the global supply chain ecosystem. The firm offers an extensive range of services, including freight transportation, transportation management, and third-party logistics, which encompass truckload, less than truckload, air freight, intermodal, and ocean transportation. C.H. Robinson distinguishes itself through its commitment to technology and innovation, utilizing advanced data analytics and a vast network to optimize supply chain efficiencies and visibility for a wide array of clients across different sectors.",1043277,NASDAQ,USD,USA,INDUSTRIALS,INTEGRATED FREIGHT & LOGISTICS,"14701 CHARLSON ROAD, EDEN PRAIRIE, MN, UNITED STATES, 55347-5076",https://www.chrobinson.com,December,2025-09-30,18051361000,871163000,30.99,2.151,15.68,2.48,0.0164,4.93,137.06,0.0364,0.0558,0.0958,0.343,16504785000,1386719000,4.93,0.675,-0.109,152.2,2,13,10,2,0,30.99,26.45,1.094,9.72,1.176,21.62,0.909,158.7,83.72,135.76,109.65,118137000,117691000,0.813,101.323,2026-01-05,2025-12-05,CHRW,2025-11-16 07:50:34.223246
CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc. (CDNS), based in San Jose, California, is a leading provider of electronic design automation (EDA) software and engineering services that drive advancements in semiconductor innovation. The company offers a wide range of solutions tailored for integrated circuit design, system on chip (SoC) development, and printed circuit board (PCB) design, enabling clients to significantly increase productivity and reduce time-to-market. By leveraging advanced technologies, including artificial intelligence and machine learning, Cadence enhances design processes and performance, positioning itself as an essential partner for organizations navigating the complexities of modern electronic design challenges.",813672,NASDAQ,USD,USA,TECHNOLOGY,SOFTWARE - APPLICATION,"BUILDING 5, SAN JOSE, CA, UNITED STATES, 95134",https://www.cadence.com,December,2025-09-30,86012789000,1882691000,81.38,3.152,19.1,None,None,3.87,19.19,0.203,0.351,0.111,0.217,5212626000,4459140000,3.87,0.207,0.101,381.64,5,14,4,1,0,81.38,39.68,16.5,16.49,16.39,47.43,1.043,376.45,221.56,341.41,309.99,272201000,271107000,0.303,92.108,None,None,CDNS,2025-11-16 07:50:34.774979
CZR,Common Stock,Caesars Entertainment Corporation,"Caesars Entertainment Corporation is a premier American hospitality and gaming entity, headquartered in Reno, Nevada, with a vast portfolio of over 50 properties across the United States. Evolving from its roots as Eldorado Resorts, Inc., Caesars has firmly entrenched itself as a leader in the casino and entertainment sectors, offering a comprehensive suite of gaming, dining, and lodging experiences that cater to diverse customer preferences. The company's strong brand equity and commitment to innovation position it favorably for sustained growth in both mature and emerging markets, appealing to a broad spectrum of leisure and gaming enthusiasts. With a focus on operational excellence and customer loyalty, Caesars is well-equipped to navigate the dynamics of the evolving gaming landscape.",1590895,NASDAQ,USD,USA,CONSUMER CYCLICAL,RESORTS & CASINOS,"100 WEST LIBERTY STREET, RENO, NV, UNITED STATES, 89501",https://www.caesars.com,December,2025-09-30,4037255000,3467000000,None,3.262,18.45,None,None,-1.15,54.2,-0.0212,0.179,0.0395,-0.0426,11369000000,5713000000,-1.15,0.417,-0.002,34.71,3,11,3,0,0,-,24.39,0.355,1.067,2.468,7.8,2.065,40,18.25,23.32,27.26,204108000,193470000,0.959,105.930,None,None,CZR,2025-11-16 07:50:35.328247
CPT,Common Stock,Camden Property Trust,"Camden Property Trust (CPT) is a leading real estate investment trust (REIT) specializing in the acquisition, management, and development of high-quality multifamily residential properties across the United States. As a member of the S&P 400, Camden is focused on portfolio growth through strategic acquisitions and operational enhancements, emphasizing sustainability and innovation in its practices. With a robust pipeline of development projects and a commitment to responding to evolving market demands, Camden offers institutional investors compelling opportunities for capital appreciation and income generation in the thriving multifamily sector.",906345,NYSE,USD,USA,REAL ESTATE,REIT - RESIDENTIAL,"2800 POST OAK BOULEVARD, HOUSTON, TX, UNITED STATES, 77056",https://www.camdenliving.com,December,2025-09-30,10922545000,892786000,41.56,8.96,41.84,4.18,0.0411,2.47,14.54,0.171,0.16,0.0199,0.0593,1578428000,970962000,2.47,0.874,0.021,117.54,2,8,13,1,1,41.56,69.93,6.92,2.408,9.33,14.27,0.832,123.08,97.17,104.32,112.44,106395000,104564000,1.345,98.788,2025-10-17,2025-09-30,CPT,2025-11-16 07:50:35.877391
CPB,Common Stock,Campbell’s Co,"Campbell Soup Company (CPB) is a leading American food manufacturer recognized for its diverse portfolio of well-established brands, including Campbell's soups, Pepperidge Farm, and V8 beverages. Committed to innovation and sustainability, the company effectively responds to shifting consumer preferences for health and convenience in meal solutions. With a strong global distribution network and significant brand equity, Campbell is well-positioned to leverage market opportunities within the dynamic food industry. By aligning its strategic initiatives with evolving consumer trends, Campbell Soup Company seeks to drive long-term growth and maximize shareholder value.",16732,NYSE,USD,USA,CONSUMER DEFENSIVE,PACKAGED FOODS,"1 CAMPBELL PLACE, CAMDEN, NJ, UNITED STATES, 08103-1799",https://www.thecampbellscompany.com,July,2025-07-31,9315128000,1890000000,15.57,0.776,13.09,1.54,0.0493,2.01,34.41,0.0587,0.131,0.0612,0.156,10253000000,3151000000,2.01,-0.5,0.012,34.37,0,3,13,2,3,15.57,12.72,0.908,2.387,1.599,10.41,-0.055,44.94,29.03,31.54,34.34,297703000,191970000,35.090,66.236,2025-11-03,2025-10-02,CPB,2025-11-16 07:50:36.434464
COF,Common Stock,Capital One Financial Corporation,"Capital One Financial Corporation (COF), based in McLean, Virginia, is a prominent banking institution recognized for its innovative credit card products, auto financing, and comprehensive banking services. As a key player in the U.S. financial services sector, Capital One prioritizes digital solutions and customer-centric strategies, which enhance user experience and operational efficiency. By leveraging advanced technology and data analytics, the company strengthens its risk management capabilities and remains agile in responding to market changes. With a strong emphasis on innovation, Capital One is well-positioned to seize emerging opportunities and navigate the evolving financial landscape effectively.",927628,NYSE,USD,USA,FINANCIAL SERVICES,CREDIT SERVICES,"1680 CAPITAL ONE DRIVE, MCLEAN, VA, UNITED STATES, 22102",https://www.capitalone.com,December,2025-09-30,137827041000,None,72.56,0.561,170.52,2.4,0.0111,2.91,60.4,0.049,0.387,0.0025,0.0162,28886000000,28886000000,2.91,0.095,0.679,260.24,3,14,6,0,0,72.56,9.82,4.771,1.179,3.838,-,1.165,231.82,142.38,218.77,202.08,635734000,622866000,1.814,87.702,2025-12-01,2025-11-17,COF,2025-11-16 07:50:36.989215
